ID,school,city,cluster,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43693696046122,Ben Painter Elementary,San Jose,0,0.1935860287098494,0.7743318689364819,0.063293977667948,0.519
43693696046213,Linda Vista Elementary,San Jose,0,0.3011501411404388,5.70786979621909,0.327550464719315,0.682
43693696046221,Lyndale Elementary,San Jose,0,0.2350044538625825,2.1620429270971577,0.1634158619742803,0.8290000000000001
43693696046247,Aptitud Community Academy at Goss,San Jose,0,0.2377932483265577,2.415675883467421,0.1894478157005958,0.8909999999999999
43693696046254,Millard McCollam Elementary,San Jose,0,0.2430768539421881,2.8113691070006688,0.1580069741261749,0.535
43693696046270,O. S. Hubbard Elementary,San Jose,0,0.2471577287960105,4.221745239195802,0.3184807531246711,0.85
43693696046304,San Antonio Elementary,San Jose,0,0.2563532179313291,3.3165517998846763,0.2518511399727248,0.917
43693696046320,Thomas P. Ryan Elementary,San Jose,0,0.2179209292972394,2.3433251110917896,0.1626447854361068,0.838
43693696046338,William Sheppard Middle,San Jose,0,0.1901970703148132,0.7648854333032828,0.0643513836325445,0.7140000000000001
43693696089270,Ocala Middle,San Jose,0,0.1940156868822944,0.940591204697418,0.0784657418891273,0.7929999999999999
43693776046379,Noble Elementary,San Jose,0,0.2990997112881205,4.454307484612043,0.2871244536988309,0.235
43693776046387,Northwood Elementary,San Jose,0,0.2490345340222894,3.2528430542525677,0.2345102166899297,0.133
43693776046395,Piedmont Middle,San Jose,0,0.2941015132866762,2.739624472013875,0.1806204494803656,0.34
43693776067177,Ruskin Elementary,San Jose,0,0.2864729648530313,1.5819799288862042,0.1354777300329942,0.155
43693776068928,Morrill Middle,San Jose,0,0.3018334732200401,3.883910470847193,0.2637092087259346,0.349
43693776093033,Sierramont Middle,San Jose,0,0.2797746167673364,1.846084847375406,0.1474486293533476,0.248
43693776093041,Vinci Park Elementary,San Jose,0,0.2953364285973286,4.672835523094314,0.2716768031777848,0.312
43693776095335,Brooktree Elementary,San Jose,0,0.2927551849416704,4.391609959683506,0.2790029333565194,0.406
43693776095343,Majestic Way Elementary,San Jose,0,0.3002291455588655,3.4022258934005745,0.2279618705924886,0.299
43693776095350,Summerdale Elementary,San Jose,0,0.2739594238606387,2.349410327168884,0.173570209280082,0.3829999999999999
43693850133439,Steindorf STEAM K-8 Magnet,San Jose,0,0.2581445589848862,4.665632393792533,0.344801863521745,0.047
43693856046411,Bagby Elementary,San Jose,1,0.3642885863131826,10.885176354292044,0.6636751804273507,0.149
43694014330239,Leigh High,San Jose,0,0.3229647574363942,4.150028373727759,0.2946748919967782,0.18
43694014330866,Branham High,San Jose,0,0.2534277876526712,4.939094657739253,0.3513727500308921,0.314
43694014331955,Del Mar High,San Jose,0,0.2640152694456822,3.868341326792121,0.2689692099289741,0.696
