ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43694506047260,Lairon College Preparatory Academy,San Jose,3975 Mira Loma,37.28238,-121.82885,0.818
43694506047278,Sylvandale Middle,San Jose,653 Sylvandale Avenue,37.287864,-121.82531,0.745
43694506067201,Robert F. Kennedy Elementary,San Jose,1602 Lucretia Avenue,37.324997,-121.8524,0.903
43694506071542,Stonegate Elementary,San Jose,2605 Gassmann Drive,37.308515,-121.83635,0.76
43694506105795,Windmill Springs Elementary,San Jose,2880 Aetna Way,37.306212,-121.82428,0.747
43694506115943,"Shirakawa (George, Sr.) Elementary",San Jose,665 Wool Creek Drive,37.316085,-121.84974,0.8270000000000001
43694684334421,Lynbrook High,San Jose,1280 Johnson Avenue,37.300713,-122.00647,0.065
43695186047500,Springer Elementary,Mountain View,1120 Rose Avenue,37.371011,-122.09402,0.049
43695426047575,Luther Burbank Elementary,San Jose,4 Wabash Avenue,37.323556,-121.9267,0.6970000000000001
43695750129940,Latimer,San Jose,4250 Latimer Avenue,37.292391,-121.97803,0.475
43695756047740,Country Lane Elementary,San Jose,5140 Country Lane,37.298472,-121.99193,0.3
43695756047765,Easterbrook Discovery,San Jose,4835 Doyle Road,37.303397,-121.98663,0.222
43695756047781,Moreland Middle,San Jose,4600 Student Lane,37.290191,-121.98411,0.38299999999999995
43695756047799,George C. Payne Elementary,San Jose,3750 Gleason Avenue,37.297438,-121.96742,0.314
43695756047807,Gussie M. Baker Elementary,San Jose,4845 Bucknall Road,37.283415,-121.98712,0.19
43695756047831,Leroy Anderson Elementary,San Jose,4000 Rhoda Drive,37.30466,-121.9715,0.8540000000000001
43695836095392,Los Paseos Elementary,San Jose,121 Avenida Grande,37.228983,-121.76739,0.40399999999999997
43695836100325,Martin Murphy Middle,San Jose,141 Avenida Espana,37.225583,-121.76693,0.455
43695910132373,Gabriela Mistral Elementary,Mountain View,505 Escuela Avenue,37.394899,-122.09414,0.484
43695910138750,Jose Antonio Vargas Elementary,Mountain View,220 North Whisman Road,37.393904,-122.06109,0.23399999999999999
43695916047955,Benjamin Bubb Elementary,Mountain View,525 Hans Avenue,37.379144,-122.08176,0.17300000000000001
43695916047963,Edith Landels Elementary,Mountain View,115 West Dana Street,37.388743,-122.07055,0.21100000000000002
43695916047971,Amy Imai Elementary,Mountain View,253 Martens Avenue,37.375266,-122.07434,0.111
43695916047989,Isaac Newton Graham Middle,Mountain View,1175 Castro Street,37.381793,-122.086,0.263
