ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43694190108126,Sam H. Lawson Middle,Cupertino,10401 Vista Drive,37.328413,-122.02677,0.152
43694196046718,C. B. Eaton Elementary,Cupertino,20220 Suisun Drive,37.315251,-122.02619,0.157
43694196046742,Chester W. Nimitz Elementary,Sunnyvale,545 East Cheyenne Drive,37.346742,-122.03575,0.506
43694196046759,L. P. Collins Elementary,Cupertino,10300 Blaney Avenue,37.318574,-122.02308,0.171
43694196046767,Cupertino Middle,Sunnyvale,1650 South Bernardo Avenue,37.340131,-122.05942,0.209
43694196046775,D. J. Sedgwick Elementary,Cupertino,19200 Phil Lane,37.316097,-122.00876,0.27
43694196046809,Dwight D. Eisenhower Elementary,Santa Clara,277 Rodonovan Drive,37.329181,-121.98939,0.28
43694196046841,Garden Gate Elementary,Cupertino,10500 Ann Arbor Avenue,37.329659,-122.04533,0.20800000000000002
43694196046882,Joaquin Miller Middle,San Jose,6151 Rainbow Drive,37.301254,-122.0121,0.135
43694196046890,John F. Kennedy Middle,Cupertino,821 Bubb Road,37.313232,-122.05052,0.157
43694196046908,John Muir Elementary,San Jose,6560 Hanover Drive,37.300409,-122.01946,0.084
43694196046932,Christa McAuliffe,Saratoga,12211 Titus Avenue,37.292892,-122.00966,0.098
43694196046940,Abraham Lincoln Elementary,Cupertino,21710 McClellan Road,37.315469,-122.05336,0.14400000000000002
43694196046957,Louis E. Stocklmeir Elementary,Sunnyvale,592 Dunholme Way,37.344802,-122.02646,0.213
43694196046965,Manuel De Vargas Elementary,San Jose,5050 Moorpark Avenue,37.310596,-121.99102,0.449
43694196046981,Montclaire Elementary,Los Altos,1160 Street Joseph Avenue,37.343291,-122.08241,0.08800000000000001
43694196047005,Nelson S. Dilworth Elementary,San Jose,1101 Strayer Drive,37.306291,-122.00688,0.196
43694196047039,Murdock-Portal Elementary,San Jose,1188 Wunderlich Drive,37.30381,-121.99952,0.085
43694196047088,Stevens Creek Elementary,Cupertino,10300 Ainsworth Drive,37.32731,-122.0643,0.133
43694196047096,Warren E. Hyde Middle,Cupertino,19325 Bollinger Road,37.31055,-122.01172,0.263
43694196047104,West Valley Elementary,Sunnyvale,1635 Belleville Way,37.339923,-122.06077,0.159
43694196047112,William Faria Elementary,Cupertino,10155 Barbara Lane,37.320669,-122.03875,0.125
43694196067185,Blue Hills Elementary,Saratoga,12300 De Sanka Avenue,37.290073,-122.02589,0.163
43694274330015,Yerba Buena High,San Jose,1855 Lucretia Avenue,37.320791,-121.84831,0.619
43694274330023,Santa Teresa High,San Jose,6150 Snell Road,37.235085,-121.8305,0.27899999999999997
43694274330031,Independence High,San Jose,617 North Jackson Avenue,37.370953,-121.85602,0.47
43694274330692,Evergreen Valley High,San Jose,3300 Quimby Road,37.325201,-121.77866,0.22399999999999998
43694274332995,Andrew P. Hill High,San Jose,3200 Senter Road,37.291923,-121.83173,0.6759999999999999
43694274333639,James Lick High,San Jose,57 North White Road,37.368046,-121.83009,0.6579999999999999
43694274334900,Mt. Pleasant High,San Jose,1750 South White Road,37.345646,-121.80948,0.625
43694274335204,Oak Grove High,San Jose,285 Blossom Hill Road,37.251575,-121.81892,0.562
43694274335428,William C. Overfelt High,San Jose,1835 Cunningham Avenue,37.330593,-121.82838,0.627
43694274335907,Piedmont Hills High,San Jose,1377 Piedmont Road,37.403788,-121.84899,0.301
43694274337903,Silver Creek High,San Jose,3434 Silver Creek Road,37.304331,-121.80831,0.446
43694350102616,Carolyn A. Clark Elementary,San Jose,3701 Rue Mirassou Drive,37.321714,-121.76937,0.183
43694356047120,Cadwallader Elementary,San Jose,3799 Cadwallader Avenue,37.306698,-121.78763,0.433
43694356047138,Evergreen Elementary,San Jose,3010 Fowler Road,37.310525,-121.77793,0.153
43694356047146,Holly Oak Elementary,San Jose,2995 Rossmore Way,37.31875,-121.79765,0.537
43694356047153,Katherine R. Smith Elementary,San Jose,2025 Clarice Drive,37.326253,-121.82206,0.737
43694356047161,O. B. Whaley Elementary,San Jose,2655 Alvin Avenue,37.31619,-121.82424,0.679
43694356047179,Quimby Oak Middle,San Jose,3190 Quimby Road,37.324774,-121.78708,0.305
43694356067193,Cedar Grove Elementary,San Jose,2702 Sugar Plum Drive,37.331164,-121.79361,0.483
43694356085690,George V. LeyVa Intermediate,San Jose,1865 Monrovia Drive,37.314281,-121.81263,0.617
43694356095988,John J. Montgomery Elementary,San Jose,2010 Daniel Maloney Drive,37.307734,-121.80108,0.589
43694356102081,Norwood Creek Elementary,San Jose,3241 Remington Way,37.328173,-121.78862,0.27
43694356105787,Millbrook Elementary,San Jose,3200 Millbrook Drive,37.319487,-121.78805,0.308
43694356110159,Chaboya Middle,San Jose,3276 Cortona Drive,37.312333,-121.768,0.16399999999999998
43694356111942,Silver Oak Elementary,San Jose,5000 Farnsworth Drive,37.284241,-121.77369,0.087
43694356115851,Tom Matsumoto Elementary,San Jose,4121 Mackin Woods Lane,37.312017,-121.76502,0.133
43694356117956,James Franklin Smith Elementary,San Jose,2220 Woodbury Lane,37.297368,-121.78799,0.10099999999999999
43694500127225,College Connection Academy,San Jose,1855 Lucretia Avenue,37.320115,-121.84751,0.653
43694506047195,Franklin Elementary,San Jose,420 Tully Road,37.305453,-121.85107,0.8079999999999999
43694506047211,Captain Jason M. Dahl Elementary,San Jose,3200 Water Street,37.288155,-121.84003,0.856
43694506047229,Bridges Academy,San Jose,1702 Mclaughlin Avenue,37.325456,-121.84646,0.894
